#,Open,High,Low,Close,Volume,Stock
365,442.67,448.82,442.52,898.15,"4,350,000",450.395
366,449,453.72,447.07,898.21,"5,853,600",444.415
367,445.33,448.82,440.01,882.32,"6,769,200",439.09
368,442.51,443.28,434.9,878.52,"7,994,300",433.265
369,434.31,436.52,430.01,867.41,"6,056,300",434.42
370,436.99,438.2,430.64,863.83,"5,125,500",435.51
371,435.24,437.36,433.66,871.26,"3,676,400",438.69
372,437.76,440.69,436.69,874.67,"3,867,300",437.365
373,435.82,439.27,435.46,877.96,"4,716,100",442.61
374,441.57,444.37,440.85,885.45,"3,462,400",440.42
375,443.44,443.84,437,879.89,"3,797,000",440.265
376,438.31,442.92,437.61,884,"2,101,700",444.02
377,443.34,446.03,442.01,891.04,"3,416,500",449.155
378,447.93,451.44,446.87,902.61,"3,953,700",451.04
379,453.8,454.77,447.31,902.76,"3,973,500",451.19
380,450.04,453.87,448.51,903.51,"3,429,500",455.625
381,454.8,458.69,452.56,917.72,"5,187,700",457.845
382,458.28,459.78,455.91,920.47,"5,155,600",459.37
383,460.42,462.27,456.47,922.16,"3,935,600",458.745
384,461.83,462.25,455.24,917.09,"3,980,700",459.07
385,458.78,461.7,456.44,916.04,"3,023,400",454.095
386,457.78,458.28,449.91,908.19,"7,296,100",442.98
387,441.65,449.79,436.17,894.15,"14,773,700",450.73
388,449.32,454.63,446.83,908.21,"5,828,100",451.455
389,453.65,454.8,448.11,901.33,"4,106,600",451.06
390,451.94,453.45,448.67,900.43,"4,172,500",444.07
391,445.27,446.75,441.39,885.27,"6,024,600",441.34
392,441.84,443.33,439.35,882.93,"3,568,600",442.27
393,440.8,445.74,438.8,879.85,"3,797,800",442.46
394,441.08,446.13,438.79,888.48,"3,524,300",444.01
395,444.83,446.58,441.44,885.32,"4,363,200",448.21
396,445.83,450.59,445.83,901.74,"4,292,700",450.27
397,450.03,451.81,448.73,904.09,"3,440,600",449.495
398,451,451.07,447.92,902.52,"2,629,100",449.675
399,450.66,453.16,446.19,894.12,"3,023,400",445.215
400,445.85,447.55,442.88,888.21,"2,768,600",443.62
401,446.07,446.25,440.99,890.22,"2,987,000",444.715
402,443.62,446.09,443.34,887.97,"2,657,200",440.51
403,441.79,441.84,439.18,883.09,"2,764,200",439.525
404,441.76,442.59,436.46,878.84,"2,850,200",435.215
405,437.54,438.47,431.96,867.43,"4,179,900",429.125
406,430.61,430.85,427.4,857.31,"3,752,300",428.14
407,429.03,429.61,426.67,854.56,"3,362,700",430.745
408,427.25,434.37,427.12,863.28,"3,635,300",432.295
409,432.55,434.43,430.16,863.05,"2,475,100",434.225
410,433.7,436.82,431.63,866.95,"3,527,700",434.62
411,434.72,435.74,433.5,871.32,"1,746,200",435.305
412,437.28,437.36,433.25,867.83,"2,162,200",433.615
413,433.38,435.82,431.41,864.02,"2,112,800",426.31
414,428.2,430.25,422.37,847.82,"3,481,100",424.205
415,423.54,426.11,422.3,846.23,"2,669,700",425.645
416,422.95,428.58,422.71,853.09,"2,968,000",424.31
417,426.28,427.42,421.2,844.58,"3,737,100",428.43
418,425.58,431.48,425.38,858.02,"4,110,400",430.555
419,428.57,435.12,425.99,869.24,"4,097,600",436.24
420,435.12,438.3,434.18,877.15,"2,592,100",437.74
421,439.57,440.24,435.24,877.17,"3,134,800",441.385
422,440.21,443.21,439.56,885.62,"2,478,300",442.34
423,443.35,444.33,440.35,886.24,"2,584,700",444.1
424,442.61,446.81,441.39,893.74,"3,233,200",445.305
425,447.02,447.27,443.34,890.61,"2,199,100",443.47
426,445.58,446.17,440.77,886.64,"2,660,600",443.805
427,446.43,446.83,440.78,885.33,"2,682,900",440.7
428,442.05,442.54,438.86,883.68,"2,528,200",445.095
429,441.52,450.3,439.89,900.85,"3,883,800",448.665
430,451.3,451.3,446.03,895.93,"3,207,600",448.26
431,447.52,450.38,446.14,900.64,"8,723,000",445.03
432,446.4,449.11,440.95,884.07,"3,568,000",441.22
433,441.59,443.39,439.05,884.41,"2,984,600",438.895
434,441.62,441.62,436.17,874.83,"3,310,200",437.8
435,437.51,439.73,435.87,875.77,"2,529,200",435.575
436,435.78,437.12,434.03,873.99,"2,527,000",435.655
437,432.92,438.78,432.53,873.51,"3,457,600",440.28
438,438.48,442.18,438.38,884.57,"3,382,100",440.145
439,439.72,443.02,437.27,885.56,"3,001,700",439.9
440,442.34,445.38,434.42,873.69,"4,249,800",435.25
441,435.87,437.12,433.38,869.96,"2,726,100",432.9
442,432.11,435.36,430.44,863.37,"2,596,800",427.795
443,431.04,431.37,424.22,851.33,"3,901,800",424.815
444,426.54,429.71,419.92,853.52,"5,322,400",430.645
445,430.31,432.79,428.5,865.86,"4,527,400",433.07
446,431.4,435.11,431.03,869.6,"2,828,300",433.785
447,431.71,436.49,431.08,873.71,"2,496,400",438.265
448,436.24,441.16,435.37,879.6,"3,195,600",443.92
449,441.28,447.49,440.35,895.57,"4,030,200",443.995
450,444.83,446.78,441.21,886.36,"8,545,000",495.505
451,486.47,505.83,485.18,"1,008.64","23,219,400",502.755
452,503.84,507.6,497.91,"1,000.55","7,283,700",500.325
453,500.62,504.61,496.04,"1,004.24","4,433,700",506.945
454,498.63,515.44,498.45,"1,028.59","5,346,300",514.415
455,514.01,518.34,510.49,"1,022.74","4,199,700",507.985
456,512.49,512.49,503.48,"1,012.42","4,076,100",507.2
457,505.7,509.8,504.6,"1,012.22","2,326,000",510.695
458,507.65,516.53,504.86,"1,033.40","3,222,000",513.95
